,localhour,air1,furnace1,waterheater1,total
2544,2014-04-02 20:00:00-05,0.0,78.76666666666665,190.35,269.1166666666667
2545,2014-04-02 21:00:00-05,0.0,0.0,0.0,0.0
2546,2014-04-02 22:00:00-05,0.0,0.0,0.0,0.0
2547,2014-04-02 23:00:00-05,0.0,0.0,0.0,0.0
2548,2014-04-03 00:00:00-05,0.0,0.0,197.31666666666663,197.31666666666663
2549,2014-04-03 01:00:00-05,0.0,0.0,0.0,0.0
2550,2014-04-03 02:00:00-05,0.0,0.0,0.0,0.0
2551,2014-04-03 03:00:00-05,0.0,0.0,0.0,0.0
2552,2014-04-03 04:00:00-05,0.0,0.0,0.0,0.0
2553,2014-04-03 05:00:00-05,0.0,0.0,0.0,0.0
2554,2014-04-03 06:00:00-05,0.0,0.0,0.0,0.0
2555,2014-04-03 07:00:00-05,0.0,0.0,227.58333333333331,227.58333333333331
2556,2014-04-03 08:00:00-05,0.0,0.0,223.5,223.5
2557,2014-04-03 09:00:00-05,0.0,0.0,0.0,0.0
2558,2014-04-03 10:00:00-05,0.0,0.0,0.0,0.0
2559,2014-04-03 11:00:00-05,0.0,0.0,985.05,985.05
2560,2014-04-03 12:00:00-05,0.0,0.0,200.98333333333326,200.98333333333326
2561,2014-04-03 13:00:00-05,0.0,0.65,0.0,0.65
2562,2014-04-03 14:00:00-05,0.0,0.0,197.16666666666666,197.16666666666666
2563,2014-04-03 15:00:00-05,0.0,0.26666666666666666,0.0,0.26666666666666666
2564,2014-04-03 16:00:00-05,0.0,0.0,0.0,0.0
2565,2014-04-03 17:00:00-05,0.0,0.0,0.0,0.0
2566,2014-04-03 18:00:00-05,0.0,0.0,273.3666666666666,273.3666666666666
2567,2014-04-03 19:00:00-05,0.0,0.0,202.3333333333333,202.3333333333333
2568,2014-04-03 20:00:00-05,0.0,0.0,0.0,0.0
2569,2014-04-03 21:00:00-05,0.0,0.0,0.0,0.0
2570,2014-04-03 22:00:00-05,0.0,0.0,0.0,0.0
2571,2014-04-03 23:00:00-05,0.0,0.0,0.0,0.0
2572,2014-04-04 00:00:00-05,0.0,0.0,0.0,0.0
2573,2014-04-04 01:00:00-05,0.0,0.0,196.55,196.55
2574,2014-04-04 02:00:00-05,0.0,0.0,0.0,0.0
2575,2014-04-04 03:00:00-05,0.0,0.0,0.0,0.0
2576,2014-04-04 04:00:00-05,0.0,0.0,0.0,0.0
2577,2014-04-04 05:00:00-05,0.0,0.0,0.0,0.0
2578,2014-04-04 06:00:00-05,0.0,0.0,0.0,0.0
2579,2014-04-04 07:00:00-05,0.0,0.0,211.01666666666665,211.01666666666665
2580,2014-04-04 08:00:00-05,0.0,0.0,274.2833333333333,274.2833333333333
2581,2014-04-04 09:00:00-05,0.0,0.0,674.0,674.0
2582,2014-04-04 10:00:00-05,0.0,0.0,211.68333333333328,211.68333333333328
2583,2014-04-04 11:00:00-05,0.0,0.0,0.0,0.0
2584,2014-04-04 12:00:00-05,0.0,0.0,207.41666666666663,207.41666666666663
2585,2014-04-04 13:00:00-05,0.0,0.0,0.0,0.0
2586,2014-04-04 14:00:00-05,0.0,0.0,192.3333333333333,192.3333333333333
2587,2014-04-04 15:00:00-05,0.0,0.0,0.0,0.0
2588,2014-04-04 16:00:00-05,0.0,0.0,0.0,0.0
2589,2014-04-04 17:00:00-05,0.0,0.0,0.0,0.0
2590,2014-04-04 18:00:00-05,0.0,0.0,453.63333333333327,453.63333333333327
2591,2014-04-04 19:00:00-05,0.0,0.0,223.75,223.75
2592,2014-04-04 20:00:00-05,0.0,0.0,0.0,0.0
2593,2014-04-04 21:00:00-05,0.0,0.0,191.11666666666665,191.11666666666665
2594,2014-04-04 22:00:00-05,0.0,0.0,0.0,0.0
2595,2014-04-04 23:00:00-05,0.0,0.0,0.0,0.0
2596,2014-04-05 00:00:00-05,0.0,0.0,0.0,0.0
2597,2014-04-05 01:00:00-05,0.0,0.0,0.0,0.0
2598,2014-04-05 02:00:00-05,0.0,0.0,193.06666666666663,193.06666666666663
2599,2014-04-05 03:00:00-05,0.0,0.0,0.0,0.0
2600,2014-04-05 04:00:00-05,0.0,0.0,0.0,0.0
2601,2014-04-05 05:00:00-05,0.0,0.0,0.0,0.0
2602,2014-04-05 06:00:00-05,0.0,0.0,0.0,0.0
2603,2014-04-05 07:00:00-05,0.0,0.0,190.51666666666665,190.51666666666665
2604,2014-04-05 08:00:00-05,0.0,0.0,0.0,0.0
2605,2014-04-05 09:00:00-05,0.0,0.0,0.0,0.0
2606,2014-04-05 10:00:00-05,0.0,0.0,0.0,0.0
2607,2014-04-05 11:00:00-05,0.0,0.0,0.0,0.0
2608,2014-04-05 12:00:00-05,0.0,0.0,204.61666666666665,204.61666666666665
2609,2014-04-05 13:00:00-05,0.0,0.0,216.56666666666666,216.56666666666666
2610,2014-04-05 14:00:00-05,0.0,0.0,228.7,228.7
2611,2014-04-05 15:00:00-05,0.0,0.0,213.60000000000002,213.60000000000002
2612,2014-04-05 16:00:00-05,0.0,0.0,0.0,0.0
2613,2014-04-05 17:00:00-05,0.0,0.0,17.9,17.9
2614,2014-04-05 18:00:00-05,0.0,0.0,188.93333333333328,188.93333333333328
2615,2014-04-05 19:00:00-05,0.0,0.0,0.0,0.0
2616,2014-04-05 20:00:00-05,0.0,0.0,0.0,0.0
2617,2014-04-05 21:00:00-05,0.0,0.0,0.0,0.0
2618,2014-04-05 22:00:00-05,0.0,0.0,0.0,0.0
2619,2014-04-05 23:00:00-05,0.0,0.0,0.0,0.0
2620,2014-04-06 00:00:00-05,0.0,0.0,203.31666666666663,203.31666666666663
2621,2014-04-06 01:00:00-05,0.0,0.0,0.0,0.0
2622,2014-04-06 02:00:00-05,0.0,0.0,0.0,0.0
2623,2014-04-06 03:00:00-05,0.0,0.0,0.0,0.0
2624,2014-04-06 04:00:00-05,0.0,0.0,0.0,0.0
2625,2014-04-06 05:00:00-05,0.0,0.0,209.54999999999998,209.54999999999998
2626,2014-04-06 06:00:00-05,0.0,0.0,0.0,0.0
2627,2014-04-06 07:00:00-05,0.0,0.0,0.0,0.0
2628,2014-04-06 08:00:00-05,0.0,0.0,0.0,0.0
2629,2014-04-06 09:00:00-05,0.0,0.0,209.5833333333333,209.5833333333333
2630,2014-04-06 10:00:00-05,0.0,0.0,0.0,0.0
2631,2014-04-06 11:00:00-05,0.0,0.0,194.85,194.85
2632,2014-04-06 12:00:00-05,0.0,0.0,0.0,0.0
2633,2014-04-06 13:00:00-05,0.0,0.0,508.0833333333332,508.0833333333332
2634,2014-04-06 14:00:00-05,0.0,0.0,699.6166666666666,699.6166666666666
2635,2014-04-06 15:00:00-05,0.0,0.0,219.03333333333327,219.03333333333327
2636,2014-04-06 16:00:00-05,0.0,0.0,203.5,203.5
2637,2014-04-06 17:00:00-05,0.0,0.0,209.76666666666665,209.76666666666665
2638,2014-04-06 18:00:00-05,0.0,0.0,215.3833333333333,215.3833333333333
2639,2014-04-06 19:00:00-05,0.25,0.45,0.0,0.7
2640,2014-04-06 20:00:00-05,0.0,0.0,0.0,0.0
2641,2014-04-06 21:00:00-05,0.0,0.0,0.0,0.0
2642,2014-04-06 22:00:00-05,0.0,0.0,223.2333333333333,223.2333333333333
2643,2014-04-06 23:00:00-05,0.0,0.0,0.0,0.0
2644,2014-04-07 00:00:00-05,0.0,0.0,0.0,0.0
2645,2014-04-07 01:00:00-05,0.0,0.0,0.0,0.0
2646,2014-04-07 02:00:00-05,0.0,0.0,0.0,0.0
2647,2014-04-07 03:00:00-05,0.0,0.0,0.0,0.0
2648,2014-04-07 04:00:00-05,0.0,0.0,0.0,0.0
2649,2014-04-07 05:00:00-05,0.0,0.0,0.0,0.0
2650,2014-04-07 06:00:00-05,0.0,0.0,0.0,0.0
2651,2014-04-07 07:00:00-05,0.0,0.0,218.56666666666666,218.56666666666666
2652,2014-04-07 08:00:00-05,0.0,0.0,210.2,210.2
2653,2014-04-07 09:00:00-05,0.0,0.0,462.84999999999997,462.84999999999997
2654,2014-04-07 10:00:00-05,0.0,0.0,208.15,208.15
2655,2014-04-07 11:00:00-05,0.0,0.65,1190.5333333333333,1191.1833333333332
2656,2014-04-07 12:00:00-05,0.0,0.2833333333333333,221.0,221.28333333333333
2657,2014-04-07 13:00:00-05,0.0,0.0,141.66666666666666,141.66666666666666
2658,2014-04-07 14:00:00-05,0.0,0.0,65.71666666666665,65.71666666666665
2659,2014-04-07 15:00:00-05,0.0,0.0,0.0,0.0
2660,2014-04-07 16:00:00-05,0.0,0.0,0.0,0.0
2661,2014-04-07 17:00:00-05,0.0,0.0,236.4,236.4
2662,2014-04-07 18:00:00-05,0.0,0.0,459.1,459.1
2663,2014-04-07 19:00:00-05,0.0,0.0,236.95,236.95
2664,2014-04-07 20:00:00-05,0.0,0.0,0.0,0.0
2665,2014-04-07 21:00:00-05,0.0,0.0,0.0,0.0
2666,2014-04-07 22:00:00-05,0.0,0.0,210.28333333333327,210.28333333333327
2667,2014-04-07 23:00:00-05,0.0,0.0,0.0,0.0
2668,2014-04-08 00:00:00-05,0.0,0.0,0.0,0.0
2669,2014-04-08 01:00:00-05,0.0,0.0,0.0,0.0
2670,2014-04-08 02:00:00-05,0.0,0.0,0.0,0.0
2671,2014-04-08 03:00:00-05,0.0,0.0,0.0,0.0
2672,2014-04-08 04:00:00-05,0.0,0.0,216.3833333333333,216.3833333333333
2673,2014-04-08 05:00:00-05,0.0,0.0,0.0,0.0
2674,2014-04-08 06:00:00-05,0.0,0.0,0.0,0.0
2675,2014-04-08 07:00:00-05,0.0,0.0,0.0,0.0
2676,2014-04-08 08:00:00-05,0.0,0.0,966.25,966.25
2677,2014-04-08 09:00:00-05,0.0,0.6666666666666666,1010.85,1011.5166666666667
2678,2014-04-08 10:00:00-05,0.0,0.2,233.2166666666666,233.4166666666666
2679,2014-04-08 11:00:00-05,0.0,0.0,0.0,0.0
2680,2014-04-08 12:00:00-05,0.0,0.0,459.5666666666666,459.5666666666666
2681,2014-04-08 13:00:00-05,0.0,0.0,0.0,0.0
2682,2014-04-08 14:00:00-05,0.0,0.0,211.68333333333328,211.68333333333328
2683,2014-04-08 15:00:00-05,0.0,0.0,0.0,0.0
2684,2014-04-08 16:00:00-05,0.0,0.0,0.0,0.0
2685,2014-04-08 17:00:00-05,0.0,0.0,0.0,0.0
2686,2014-04-08 18:00:00-05,0.0,0.0,0.0,0.0
2687,2014-04-08 19:00:00-05,0.0,0.0,776.7666666666667,776.7666666666667
2688,2014-04-08 20:00:00-05,0.0,0.0,502.5333333333332,502.5333333333332
2689,2014-04-08 21:00:00-05,0.0,0.0,230.15,230.15
2690,2014-04-08 22:00:00-05,0.0,0.0,0.0,0.0
2691,2014-04-08 23:00:00-05,0.0,0.0,0.0,0.0
2692,2014-04-09 00:00:00-05,0.0,0.0,148.0833333333333,148.0833333333333
2693,2014-04-09 01:00:00-05,0.0,0.0,59.033333333333324,59.033333333333324
2694,2014-04-09 02:00:00-05,0.0,0.0,0.0,0.0
2695,2014-04-09 03:00:00-05,0.0,0.0,0.0,0.0
2696,2014-04-09 04:00:00-05,0.0,0.0,0.0,0.0
2697,2014-04-09 05:00:00-05,0.0,0.0,212.36666666666665,212.36666666666665
2698,2014-04-09 06:00:00-05,0.0,0.0,0.0,0.0
2699,2014-04-09 07:00:00-05,0.0,0.0,0.0,0.0
2700,2014-04-09 08:00:00-05,0.0,0.0,214.9,214.9
2701,2014-04-09 09:00:00-05,0.0,0.0,0.0,0.0
2702,2014-04-09 10:00:00-05,0.0,0.0,0.0,0.0
2703,2014-04-09 11:00:00-05,0.0,0.0,0.0,0.0
2704,2014-04-09 12:00:00-05,0.0,0.0,0.0,0.0
2705,2014-04-09 13:00:00-05,0.0,0.0,164.26666666666665,164.26666666666665
2706,2014-04-09 14:00:00-05,0.0,0.0,124.6333333333333,124.6333333333333
2707,2014-04-09 15:00:00-05,0.0,0.0,0.0,0.0
2708,2014-04-09 16:00:00-05,0.0,0.0,228.7833333333333,228.7833333333333
2709,2014-04-09 17:00:00-05,0.0,0.0,0.0,0.0
2710,2014-04-09 18:00:00-05,0.0,0.0,0.0,0.0
2711,2014-04-09 19:00:00-05,0.0,0.0,594.4000000000001,594.4000000000001
2712,2014-04-09 20:00:00-05,0.0,0.0,560.9333333333332,560.9333333333332
2713,2014-04-09 21:00:00-05,0.0,0.0,204.91666666666666,204.91666666666666
2714,2014-04-09 22:00:00-05,0.0,0.0,0.0,0.0
2715,2014-04-09 23:00:00-05,0.0,0.0,0.0,0.0
2716,2014-04-10 00:00:00-05,0.0,0.0,0.0,0.0
2717,2014-04-10 01:00:00-05,0.0,0.0,215.43333333333328,215.43333333333328
2718,2014-04-10 02:00:00-05,0.0,0.0,0.0,0.0
2719,2014-04-10 03:00:00-05,0.0,0.0,0.0,0.0
2720,2014-04-10 04:00:00-05,0.0,0.0,0.0,0.0
2721,2014-04-10 05:00:00-05,0.0,0.0,0.0,0.0
2722,2014-04-10 06:00:00-05,0.0,0.0,0.0,0.0
2723,2014-04-10 07:00:00-05,0.0,0.0,213.21666666666664,213.21666666666664
2724,2014-04-10 08:00:00-05,0.0,0.0,249.48333333333332,249.48333333333332
2725,2014-04-10 09:00:00-05,0.0,0.0,208.4,208.4
2726,2014-04-10 10:00:00-05,0.0,0.0,0.0,0.0
2727,2014-04-10 11:00:00-05,0.0,0.0,245.0333333333333,245.0333333333333
2728,2014-04-10 12:00:00-05,0.0,0.0,750.6166666666666,750.6166666666666
2729,2014-04-10 13:00:00-05,0.0,0.0,881.7833333333332,881.7833333333332
2730,2014-04-10 14:00:00-05,0.0,0.0,378.55,378.55
2731,2014-04-10 15:00:00-05,0.0,0.0,594.8666666666667,594.8666666666667
2732,2014-04-10 16:00:00-05,0.0,0.0,1144.3666666666668,1144.3666666666668
2733,2014-04-10 17:00:00-05,0.0,0.2,958.7666666666664,958.9666666666664
2734,2014-04-10 18:00:00-05,0.0,0.05,214.48333333333326,214.53333333333327
2735,2014-04-10 19:00:00-05,0.0,0.0,213.51666666666665,213.51666666666665
2736,2014-04-10 20:00:00-05,0.0,0.0,0.0,0.0
2737,2014-04-10 21:00:00-05,0.0,0.0,31.23333333333333,31.23333333333333
2738,2014-04-10 22:00:00-05,0.0,0.0,168.16666666666666,168.16666666666666
2739,2014-04-10 23:00:00-05,0.0,0.0,0.0,0.0
2740,2014-04-11 00:00:00-05,0.0,0.0,0.0,0.0
2741,2014-04-11 01:00:00-05,0.0,0.0,0.0,0.0
2742,2014-04-11 02:00:00-05,0.0,0.0,210.43333333333328,210.43333333333328
2743,2014-04-11 03:00:00-05,0.0,0.0,0.0,0.0
2744,2014-04-11 04:00:00-05,0.0,0.0,0.0,0.0
2745,2014-04-11 05:00:00-05,0.0,0.0,0.0,0.0
2746,2014-04-11 06:00:00-05,0.0,0.0,0.0,0.0
2747,2014-04-11 07:00:00-05,0.0,0.0,501.7666666666666,501.7666666666666
2748,2014-04-11 08:00:00-05,0.0,0.0,229.1333333333333,229.1333333333333
2749,2014-04-11 09:00:00-05,0.0,0.0,599.1333333333332,599.1333333333332
2750,2014-04-11 10:00:00-05,0.0,0.0,707.6333333333332,707.6333333333332
2751,2014-04-11 11:00:00-05,0.0,0.0,247.9333333333333,247.9333333333333
2752,2014-04-11 12:00:00-05,0.0,0.0,206.0,206.0
2753,2014-04-11 13:00:00-05,0.0,0.0,0.0,0.0
2754,2014-04-11 14:00:00-05,0.0,0.0,773.0166666666665,773.0166666666665
2755,2014-04-11 15:00:00-05,0.0,1.0666666666666664,1045.8,1046.8666666666668
2756,2014-04-11 16:00:00-05,0.0,0.3,224.25,224.55
2757,2014-04-11 17:00:00-05,0.0,0.0,0.0,0.0
2758,2014-04-11 18:00:00-05,0.0,0.0,205.46666666666667,205.46666666666667
2759,2014-04-11 19:00:00-05,0.0,0.0,0.0,0.0
2760,2014-04-11 20:00:00-05,0.0,0.0,0.0,0.0
2761,2014-04-11 21:00:00-05,0.0,0.0,202.45,202.45
2762,2014-04-11 22:00:00-05,0.0,0.0,0.0,0.0
2763,2014-04-11 23:00:00-05,0.0,0.0,0.0,0.0
2764,2014-04-12 00:00:00-05,0.0,0.0,0.0,0.0
2765,2014-04-12 01:00:00-05,0.0,0.0,0.0,0.0
2766,2014-04-12 02:00:00-05,0.0,0.0,0.0,0.0
2767,2014-04-12 03:00:00-05,0.0,0.0,0.0,0.0
2768,2014-04-12 04:00:00-05,0.0,0.0,0.0,0.0
2769,2014-04-12 05:00:00-05,0.0,0.0,211.04999999999998,211.04999999999998
2770,2014-04-12 06:00:00-05,0.0,0.0,0.0,0.0
2771,2014-04-12 07:00:00-05,0.0,0.0,0.0,0.0
2772,2014-04-12 08:00:00-05,0.0,0.0,235.85,235.85
2773,2014-04-12 09:00:00-05,0.0,0.0,218.95000000000002,218.95000000000002
2774,2014-04-12 10:00:00-05,0.0,0.0,0.0,0.0
2775,2014-04-12 11:00:00-05,0.0,0.0,0.0,0.0
2776,2014-04-12 12:00:00-05,0.0,0.0,0.0,0.0
2777,2014-04-12 13:00:00-05,0.0,0.0,69.55,69.55
2778,2014-04-12 14:00:00-05,0.0,0.0,151.96666666666664,151.96666666666664
2779,2014-04-12 15:00:00-05,0.0,157.8833333333333,0.0,157.8833333333333
2780,2014-04-12 16:00:00-05,0.0,0.0,0.0,0.0
2781,2014-04-12 17:00:00-05,0.0,0.0,0.0,0.0
2782,2014-04-12 18:00:00-05,0.0,0.0,0.0,0.0
2783,2014-04-12 19:00:00-05,0.0,126.0833333333333,0.0,126.0833333333333
2784,2014-04-12 20:00:00-05,0.0,0.0,217.29999999999998,217.29999999999998
2785,2014-04-12 21:00:00-05,0.0,0.0,0.0,0.0
2786,2014-04-12 22:00:00-05,0.0,0.0,0.0,0.0
2787,2014-04-12 23:00:00-05,0.0,0.0,0.0,0.0
2788,2014-04-13 00:00:00-05,0.0,0.0,0.0,0.0
2789,2014-04-13 01:00:00-05,0.0,0.0,0.0,0.0
2790,2014-04-13 02:00:00-05,0.0,0.0,0.0,0.0
2791,2014-04-13 03:00:00-05,0.0,0.0,0.0,0.0
2792,2014-04-13 04:00:00-05,0.0,0.0,0.0,0.0
2793,2014-04-13 05:00:00-05,0.0,0.0,0.0,0.0
2794,2014-04-13 06:00:00-05,0.0,0.0,223.76666666666665,223.76666666666665
2795,2014-04-13 07:00:00-05,0.0,0.0,0.0,0.0
2796,2014-04-13 08:00:00-05,0.0,0.0,0.0,0.0
2797,2014-04-13 09:00:00-05,0.0,0.0,0.0,0.0
2798,2014-04-13 10:00:00-05,0.0,0.0,210.18333333333328,210.18333333333328
2799,2014-04-13 11:00:00-05,0.0,0.0,0.0,0.0
2800,2014-04-13 12:00:00-05,0.0,10.366666666666667,0.0,10.366666666666667
2801,2014-04-13 13:00:00-05,0.0,71.33333333333333,600.5500000000001,671.8833333333334
2802,2014-04-13 14:00:00-05,0.0,0.0,475.16666666666663,475.16666666666663
2803,2014-04-13 15:00:00-05,0.0,135.41666666666666,0.0,135.41666666666666
2804,2014-04-13 16:00:00-05,0.0,0.8166666666666667,0.0,0.8166666666666667
2805,2014-04-13 17:00:00-05,0.0,0.0,225.56666666666663,225.56666666666663
2806,2014-04-13 18:00:00-05,0.0,0.0,208.53333333333327,208.53333333333327
2807,2014-04-13 19:00:00-05,0.0,84.98333333333333,0.0,84.98333333333333
2808,2014-04-13 20:00:00-05,0.0,0.0,0.0,0.0
2809,2014-04-13 21:00:00-05,0.0,0.0,0.0,0.0
2810,2014-04-13 22:00:00-05,0.0,0.0,0.0,0.0
2811,2014-04-13 23:00:00-05,0.0,2.0666666666666664,0.0,2.0666666666666664
2812,2014-04-14 00:00:00-05,0.0,71.75,220.76666666666665,292.51666666666665
2813,2014-04-14 01:00:00-05,0.0,0.0,0.0,0.0
2814,2014-04-14 02:00:00-05,0.0,0.0,0.0,0.0
2815,2014-04-14 03:00:00-05,0.0,0.0,0.0,0.0
2816,2014-04-14 04:00:00-05,0.0,0.0,0.0,0.0
2817,2014-04-14 05:00:00-05,0.0,0.0,0.0,0.0
2818,2014-04-14 06:00:00-05,0.0,0.0,0.0,0.0
2819,2014-04-14 07:00:00-05,0.0,0.0,103.08333333333331,103.08333333333331
2820,2014-04-14 08:00:00-05,0.0,0.0,127.96666666666664,127.96666666666664
2821,2014-04-14 09:00:00-05,0.0,0.0,707.0666666666666,707.0666666666666
2822,2014-04-14 10:00:00-05,0.0,0.0,216.43333333333328,216.43333333333328
2823,2014-04-14 11:00:00-05,0.0,0.0,212.53333333333327,212.53333333333327
2824,2014-04-14 12:00:00-05,0.0,0.0,0.0,0.0
2825,2014-04-14 13:00:00-05,0.0,0.0,0.0,0.0
2826,2014-04-14 14:00:00-05,0.0,0.0,0.0,0.0
2827,2014-04-14 15:00:00-05,0.0,0.0,206.65,206.65
2828,2014-04-14 16:00:00-05,0.0,0.0,0.0,0.0
2829,2014-04-14 17:00:00-05,0.0,0.0,240.4333333333333,240.4333333333333
2830,2014-04-14 18:00:00-05,0.0,0.0,254.03333333333327,254.03333333333327
2831,2014-04-14 19:00:00-05,0.0,0.0,1119.45,1119.45
2832,2014-04-14 20:00:00-05,0.0,0.65,181.6833333333333,182.33333333333331
2833,2014-04-14 21:00:00-05,0.0,0.0,227.35,227.35
2834,2014-04-14 22:00:00-05,0.0,0.0,0.0,0.0
2835,2014-04-14 23:00:00-05,0.0,0.0,0.0,0.0
2836,2014-04-15 00:00:00-05,0.0,0.0,234.61666666666662,234.61666666666662
2837,2014-04-15 01:00:00-05,0.0,0.0,0.0,0.0
2838,2014-04-15 02:00:00-05,0.0,0.0,0.0,0.0
2839,2014-04-15 03:00:00-05,0.0,0.0,0.0,0.0
2840,2014-04-15 04:00:00-05,0.0,0.0,0.0,0.0
2841,2014-04-15 05:00:00-05,0.0,0.0,0.0,0.0
2842,2014-04-15 06:00:00-05,0.0,0.0,220.61666666666665,220.61666666666665
2843,2014-04-15 07:00:00-05,0.0,0.0,0.0,0.0
2844,2014-04-15 08:00:00-05,0.0,0.0,233.7,233.7
2845,2014-04-15 09:00:00-05,0.0,0.0,0.0,0.0
2846,2014-04-15 10:00:00-05,0.0,0.0,225.86666666666667,225.86666666666667
2847,2014-04-15 11:00:00-05,0.0,0.0,0.0,0.0
2848,2014-04-15 12:00:00-05,0.0,0.0,224.0833333333333,224.0833333333333
2849,2014-04-15 13:00:00-05,0.0,0.0,0.0,0.0
2850,2014-04-15 14:00:00-05,0.0,0.0,0.0,0.0
2851,2014-04-15 15:00:00-05,0.0,0.0,0.0,0.0
2852,2014-04-15 16:00:00-05,0.0,0.0,0.0,0.0
2853,2014-04-15 17:00:00-05,0.0,92.39999999999999,221.65,314.05
2854,2014-04-15 18:00:00-05,0.0,0.0,0.0,0.0
2855,2014-04-15 19:00:00-05,0.0,0.0,0.0,0.0
2856,2014-04-15 20:00:00-05,0.0,0.0,0.0,0.0
2857,2014-04-15 21:00:00-05,0.0,0.0,0.0,0.0
2858,2014-04-15 22:00:00-05,0.0,0.0,0.0,0.0
2859,2014-04-15 23:00:00-05,0.0,0.0,0.0,0.0
2860,2014-04-16 00:00:00-05,0.0,0.0,0.0,0.0
2861,2014-04-16 01:00:00-05,0.0,0.0,219.41666666666666,219.41666666666666
2862,2014-04-16 02:00:00-05,0.0,0.0,0.0,0.0
2863,2014-04-16 03:00:00-05,0.0,0.0,0.0,0.0
2864,2014-04-16 04:00:00-05,0.0,0.0,0.0,0.0
2865,2014-04-16 05:00:00-05,0.0,0.0,0.0,0.0
2866,2014-04-16 06:00:00-05,0.0,0.0,0.0,0.0
2867,2014-04-16 07:00:00-05,0.0,0.0,228.05,228.05
2868,2014-04-16 08:00:00-05,0.0,0.0,288.7,288.7
2869,2014-04-16 09:00:00-05,0.0,0.0,329.05,329.05
2870,2014-04-16 10:00:00-05,0.0,0.0,144.7833333333333,144.7833333333333
2871,2014-04-16 11:00:00-05,0.0,1216.85,217.5,1434.35
2872,2014-04-16 12:00:00-05,0.0,0.0,522.6833333333332,522.6833333333332
2873,2014-04-16 13:00:00-05,0.0,0.0,461.15,461.15
2874,2014-04-16 14:00:00-05,0.0,0.5166666666666666,246.2,246.71666666666667
2875,2014-04-16 15:00:00-05,0.0,0.0,0.0,0.0
2876,2014-04-16 16:00:00-05,0.0,0.0,0.0,0.0
2877,2014-04-16 17:00:00-05,0.0,0.0,199.85,199.85
2878,2014-04-16 18:00:00-05,0.0,0.0,0.0,0.0
